name,description,price,category,stock,image
"Product 1","Sample description 1",9368,Furniture,56,
"Product 2","Sample description 2",21401,Fashion,369,
"Product 3","Sample description 3",21627,Fashion,265,
"Product 4","Sample description 4",28110,Furniture,155,
"Product 5","Sample description 5",32100,Accessories,498,
"Product 6","Sample description 6",6160,Computers,396,
"Product 7","Sample description 7",40772,Computers,30,
"Product 8","Sample description 8",47299,Furniture,481,
"Product 9","Sample description 9",5055,Furniture,276,
"Product 10","Sample description 10",19529,Computers,126,
"Product 11","Sample description 11",14267,Electronics,389,
"Product 12","Sample description 12",11881,Electronics,13,
"Product 13","Sample description 13",39739,Electronics,499,
"Product 14","Sample description 14",23454,Computers,135,
"Product 15","Sample description 15",31414,Furniture,59,
"Product 16","Sample description 16",44407,Accessories,185,
"Product 17","Sample description 17",1436,Fashion,287,
"Product 18","Sample description 18",49084,Fashion,301,
"Product 19","Sample description 19",24628,Computers,327,
"Product 20","Sample description 20",23422,Electronics,394,
"Product 21","Sample description 21",11564,Fashion,305,
"Product 22","Sample description 22",1958,Accessories,292,
"Product 23","Sample description 23",32747,Fashion,36,
"Product 24","Sample description 24",26409,Electronics,384,
"Product 25","Sample description 25",35652,Computers,21,
"Product 26","Sample description 26",5725,Electronics,452,
"Product 27","Sample description 27",21139,Furniture,380,
"Product 28","Sample description 28",10593,Computers,440,
"Product 29","Sample description 29",6272,Furniture,21,
"Product 30","Sample description 30",10191,Fashion,220,
"Product 31","Sample description 31",19895,Accessories,396,
"Product 32","Sample description 32",41964,Furniture,238,
"Product 33","Sample description 33",13476,Fashion,27,
"Product 34","Sample description 34",46724,Furniture,286,
"Product 35","Sample description 35",11162,Furniture,48,
"Product 36","Sample description 36",2373,Accessories,149,
"Product 37","Sample description 37",36151,Accessories,307,
"Product 38","Sample description 38",20938,Fashion,181,
"Product 39","Sample description 39",47351,Fashion,305,
"Product 40","Sample description 40",34569,Accessories,229,
"Product 41","Sample description 41",17969,Furniture,351,
"Product 42","Sample description 42",28769,Electronics,496,
"Product 43","Sample description 43",45305,Accessories,240,
"Product 44","Sample description 44",21549,Furniture,451,
"Product 45","Sample description 45",47133,Electronics,346,
"Product 46","Sample description 46",25689,Accessories,428,
"Product 47","Sample description 47",23129,Computers,228,
"Product 48","Sample description 48",19896,Electronics,254,
"Product 49","Sample description 49",3519,Accessories,421,
"Product 50","Sample description 50",12651,Accessories,455,
"Product 51","Sample description 51",12883,Furniture,199,
"Product 52","Sample description 52",43663,Electronics,460,
"Product 53","Sample description 53",614,Furniture,428,
"Product 54","Sample description 54",45880,Accessories,94,
"Product 55","Sample description 55",7546,Furniture,308,
"Product 56","Sample description 56",39719,Fashion,382,
"Product 57","Sample description 57",47780,Computers,426,
"Product 58","Sample description 58",30970,Computers,27,
"Product 59","Sample description 59",34794,Computers,483,
"Product 60","Sample description 60",1386,Computers,25,
"Product 61","Sample description 61",18419,Fashion,4,
"Product 62","Sample description 62",4347,Electronics,242,
"Product 63","Sample description 63",24962,Computers,271,
"Product 64","Sample description 64",19467,Furniture,430,
"Product 65","Sample description 65",19844,Computers,322,
"Product 66","Sample description 66",7495,Electronics,145,
"Product 67","Sample description 67",25097,Computers,341,
"Product 68","Sample description 68",48052,Accessories,371,
"Product 69","Sample description 69",39405,Accessories,448,
"Product 70","Sample description 70",46241,Fashion,159,
"Product 71","Sample description 71",22508,Electronics,427,
"Product 72","Sample description 72",22939,Fashion,24,
"Product 73","Sample description 73",1742,Furniture,192,
"Product 74","Sample description 74",19030,Fashion,185,
"Product 75","Sample description 75",45100,Electronics,225,
"Product 76","Sample description 76",23763,Furniture,432,
"Product 77","Sample description 77",32228,Accessories,224,
"Product 78","Sample description 78",10124,Computers,357,
"Product 79","Sample description 79",45007,Computers,150,
"Product 80","Sample description 80",22244,Electronics,319,
"Product 81","Sample description 81",16560,Electronics,105,
"Product 82","Sample description 82",31432,Fashion,125,
"Product 83","Sample description 83",638,Electronics,143,
"Product 84","Sample description 84",13908,Furniture,417,
"Product 85","Sample description 85",28977,Computers,108,
"Product 86","Sample description 86",39475,Electronics,490,
"Product 87","Sample description 87",673,Fashion,396,
"Product 88","Sample description 88",38690,Fashion,493,
"Product 89","Sample description 89",1273,Electronics,360,
"Product 90","Sample description 90",31800,Fashion,119,
"Product 91","Sample description 91",36325,Electronics,255,
"Product 92","Sample description 92",21602,Accessories,70,
"Product 93","Sample description 93",17395,Computers,215,
"Product 94","Sample description 94",4109,Computers,418,
"Product 95","Sample description 95",34156,Electronics,184,
"Product 96","Sample description 96",43847,Electronics,148,
"Product 97","Sample description 97",39681,Furniture,215,
"Product 98","Sample description 98",31488,Fashion,144,
"Product 99","Sample description 99",44314,Accessories,353,
"Product 100","Sample description 100",49449,Electronics,290,
"Product 101","Sample description 101",18197,Furniture,359,
"Product 102","Sample description 102",48305,Computers,370,
"Product 103","Sample description 103",18695,Fashion,231,
"Product 104","Sample description 104",14698,Computers,131,
"Product 105","Sample description 105",27262,Electronics,385,
"Product 106","Sample description 106",27936,Accessories,65,
"Product 107","Sample description 107",19820,Electronics,106,
"Product 108","Sample description 108",27420,Furniture,97,
"Product 109","Sample description 109",522,Accessories,25,
"Product 110","Sample description 110",25661,Fashion,193,
"Product 111","Sample description 111",33516,Accessories,357,
"Product 112","Sample description 112",19409,Fashion,32,
"Product 113","Sample description 113",29698,Fashion,16,
"Product 114","Sample description 114",34338,Computers,357,
"Product 115","Sample description 115",31480,Electronics,276,
"Product 116","Sample description 116",41715,Computers,117,
"Product 117","Sample description 117",42994,Computers,447,
"Product 118","Sample description 118",43356,Fashion,486,
"Product 119","Sample description 119",34357,Furniture,80,
"Product 120","Sample description 120",44206,Accessories,306,
"Product 121","Sample description 121",30929,Furniture,414,
"Product 122","Sample description 122",42947,Fashion,106,
"Product 123","Sample description 123",49883,Furniture,95,
"Product 124","Sample description 124",46207,Furniture,6,
"Product 125","Sample description 125",23513,Electronics,6,
"Product 126","Sample description 126",48888,Electronics,220,
"Product 127","Sample description 127",3636,Fashion,88,
"Product 128","Sample description 128",10612,Fashion,139,
"Product 129","Sample description 129",10517,Electronics,415,
"Product 130","Sample description 130",7701,Furniture,256,
"Product 131","Sample description 131",638,Computers,328,
"Product 132","Sample description 132",43274,Fashion,400,
"Product 133","Sample description 133",35186,Electronics,466,
"Product 134","Sample description 134",29102,Electronics,66,
"Product 135","Sample description 135",26380,Electronics,392,
"Product 136","Sample description 136",35206,Fashion,429,
"Product 137","Sample description 137",6373,Computers,97,
"Product 138","Sample description 138",38178,Furniture,464,
"Product 139","Sample description 139",45351,Accessories,356,
"Product 140","Sample description 140",15798,Furniture,88,
"Product 141","Sample description 141",23651,Accessories,206,
"Product 142","Sample description 142",9332,Electronics,222,
"Product 143","Sample description 143",14433,Accessories,299,
"Product 144","Sample description 144",44338,Computers,275,
"Product 145","Sample description 145",11170,Accessories,216,
"Product 146","Sample description 146",9131,Furniture,456,
"Product 147","Sample description 147",13709,Accessories,438,
"Product 148","Sample description 148",36052,Computers,221,
"Product 149","Sample description 149",38202,Electronics,420,
"Product 150","Sample description 150",28227,Electronics,207,
"Product 151","Sample description 151",17142,Accessories,105,
"Product 152","Sample description 152",25660,Accessories,406,
"Product 153","Sample description 153",32105,Furniture,411,
"Product 154","Sample description 154",8345,Accessories,154,
"Product 155","Sample description 155",49909,Furniture,1,
"Product 156","Sample description 156",653,Accessories,466,
"Product 157","Sample description 157",5805,Furniture,296,
"Product 158","Sample description 158",35329,Furniture,281,
"Product 159","Sample description 159",18393,Computers,23,
"Product 160","Sample description 160",39613,Electronics,30,
"Product 161","Sample description 161",49429,Electronics,441,
"Product 162","Sample description 162",13292,Computers,56,
"Product 163","Sample description 163",2461,Computers,230,
"Product 164","Sample description 164",49093,Fashion,143,
"Product 165","Sample description 165",5880,Accessories,224,
"Product 166","Sample description 166",8798,Accessories,229,
"Product 167","Sample description 167",40252,Fashion,185,
"Product 168","Sample description 168",42699,Electronics,202,
"Product 169","Sample description 169",48006,Fashion,7,
"Product 170","Sample description 170",16730,Electronics,343,
"Product 171","Sample description 171",1170,Furniture,442,
"Product 172","Sample description 172",46093,Fashion,279,
"Product 173","Sample description 173",48310,Accessories,159,
"Product 174","Sample description 174",11430,Fashion,152,
"Product 175","Sample description 175",40456,Computers,457,
"Product 176","Sample description 176",40718,Furniture,258,
"Product 177","Sample description 177",12285,Fashion,73,
"Product 178","Sample description 178",25877,Furniture,441,
"Product 179","Sample description 179",18114,Accessories,64,
"Product 180","Sample description 180",27348,Fashion,476,
"Product 181","Sample description 181",36392,Fashion,345,
"Product 182","Sample description 182",11063,Fashion,495,
"Product 183","Sample description 183",18538,Electronics,291,
"Product 184","Sample description 184",24865,Accessories,4,
"Product 185","Sample description 185",25991,Accessories,234,
"Product 186","Sample description 186",23574,Fashion,116,
"Product 187","Sample description 187",2237,Computers,264,
"Product 188","Sample description 188",4678,Furniture,172,
"Product 189","Sample description 189",32374,Accessories,306,
"Product 190","Sample description 190",5501,Fashion,134,
"Product 191","Sample description 191",5145,Fashion,133,
"Product 192","Sample description 192",15501,Computers,291,
"Product 193","Sample description 193",43554,Computers,100,
"Product 194","Sample description 194",5881,Computers,410,
"Product 195","Sample description 195",16458,Fashion,171,
"Product 196","Sample description 196",28552,Accessories,197,
"Product 197","Sample description 197",35718,Fashion,131,
"Product 198","Sample description 198",30092,Electronics,215,
"Product 199","Sample description 199",12695,Accessories,358,
"Product 200","Sample description 200",20640,Fashion,450,
"Product 201","Sample description 201",6189,Computers,341,
"Product 202","Sample description 202",32099,Electronics,248,
"Product 203","Sample description 203",30622,Furniture,491,
"Product 204","Sample description 204",4951,Electronics,211,
"Product 205","Sample description 205",44674,Accessories,443,
"Product 206","Sample description 206",17645,Accessories,496,
"Product 207","Sample description 207",24698,Electronics,265,
"Product 208","Sample description 208",14936,Furniture,232,
"Product 209","Sample description 209",6604,Computers,136,
"Product 210","Sample description 210",38025,Electronics,295,
"Product 211","Sample description 211",24065,Furniture,483,
"Product 212","Sample description 212",38549,Computers,251,
"Product 213","Sample description 213",21857,Electronics,129,
"Product 214","Sample description 214",35830,Furniture,314,
"Product 215","Sample description 215",13787,Fashion,44,
"Product 216","Sample description 216",23184,Furniture,166,
"Product 217","Sample description 217",22428,Accessories,390,
"Product 218","Sample description 218",40926,Fashion,282,
"Product 219","Sample description 219",8019,Electronics,245,
"Product 220","Sample description 220",31630,Fashion,203,
"Product 221","Sample description 221",48440,Accessories,474,
"Product 222","Sample description 222",18318,Computers,163,
"Product 223","Sample description 223",49107,Furniture,284,
"Product 224","Sample description 224",49273,Fashion,162,
"Product 225","Sample description 225",2572,Electronics,137,
"Product 226","Sample description 226",7528,Computers,38,
"Product 227","Sample description 227",27967,Computers,384,
"Product 228","Sample description 228",36291,Fashion,271,
"Product 229","Sample description 229",37005,Accessories,401,
"Product 230","Sample description 230",14376,Computers,417,
"Product 231","Sample description 231",5771,Computers,25,
"Product 232","Sample description 232",37904,Accessories,362,
"Product 233","Sample description 233",46073,Fashion,38,
"Product 234","Sample description 234",49058,Accessories,351,
"Product 235","Sample description 235",5435,Electronics,466,
"Product 236","Sample description 236",25769,Accessories,299,
"Product 237","Sample description 237",49155,Furniture,184,
"Product 238","Sample description 238",36369,Computers,22,
"Product 239","Sample description 239",45485,Electronics,345,
"Product 240","Sample description 240",6257,Computers,305,
"Product 241","Sample description 241",5817,Computers,245,
"Product 242","Sample description 242",39949,Electronics,291,
"Product 243","Sample description 243",35194,Accessories,42,
"Product 244","Sample description 244",12221,Accessories,48,
"Product 245","Sample description 245",30884,Electronics,481,
"Product 246","Sample description 246",25375,Furniture,421,
"Product 247","Sample description 247",35384,Computers,399,
"Product 248","Sample description 248",19773,Accessories,18,
"Product 249","Sample description 249",5253,Fashion,17,
"Product 250","Sample description 250",32448,Fashion,233,
"Product 251","Sample description 251",19772,Electronics,223,
"Product 252","Sample description 252",16128,Electronics,107,
"Product 253","Sample description 253",41946,Accessories,295,
"Product 254","Sample description 254",25782,Fashion,452,
"Product 255","Sample description 255",31142,Electronics,428,
"Product 256","Sample description 256",37521,Accessories,486,
"Product 257","Sample description 257",17165,Computers,298,
"Product 258","Sample description 258",47748,Accessories,452,
"Product 259","Sample description 259",3630,Fashion,344,
"Product 260","Sample description 260",7150,Furniture,192,
"Product 261","Sample description 261",10362,Furniture,208,
"Product 262","Sample description 262",42460,Computers,248,
"Product 263","Sample description 263",5310,Fashion,355,
"Product 264","Sample description 264",3880,Fashion,146,
"Product 265","Sample description 265",26478,Accessories,388,
"Product 266","Sample description 266",6382,Computers,32,
"Product 267","Sample description 267",794,Fashion,197,
"Product 268","Sample description 268",10443,Electronics,120,
"Product 269","Sample description 269",28552,Accessories,456,
"Product 270","Sample description 270",12743,Electronics,134,
"Product 271","Sample description 271",5311,Accessories,150,
"Product 272","Sample description 272",9327,Computers,263,
"Product 273","Sample description 273",2088,Fashion,307,
"Product 274","Sample description 274",10512,Computers,228,
"Product 275","Sample description 275",32210,Fashion,393,
"Product 276","Sample description 276",6270,Furniture,340,
"Product 277","Sample description 277",6100,Electronics,282,
"Product 278","Sample description 278",32482,Computers,398,
"Product 279","Sample description 279",32021,Accessories,322,
"Product 280","Sample description 280",18463,Fashion,243,
"Product 281","Sample description 281",42176,Computers,319,
"Product 282","Sample description 282",23451,Fashion,345,
"Product 283","Sample description 283",9734,Fashion,7,
"Product 284","Sample description 284",2270,Electronics,368,
"Product 285","Sample description 285",17254,Electronics,326,
"Product 286","Sample description 286",2791,Computers,287,
"Product 287","Sample description 287",14822,Furniture,497,
"Product 288","Sample description 288",44680,Accessories,59,
"Product 289","Sample description 289",18095,Electronics,438,
"Product 290","Sample description 290",48305,Accessories,59,
"Product 291","Sample description 291",1998,Accessories,232,
"Product 292","Sample description 292",46757,Furniture,237,
"Product 293","Sample description 293",12559,Electronics,381,
"Product 294","Sample description 294",1243,Accessories,68,
"Product 295","Sample description 295",2049,Furniture,273,
"Product 296","Sample description 296",33930,Furniture,92,
"Product 297","Sample description 297",8628,Fashion,481,
"Product 298","Sample description 298",13489,Furniture,209,
"Product 299","Sample description 299",27536,Computers,72,
"Product 300","Sample description 300",24106,Accessories,89,
"Product 301","Sample description 301",44254,Electronics,197,
"Product 302","Sample description 302",34934,Computers,367,
"Product 303","Sample description 303",49593,Furniture,75,
"Product 304","Sample description 304",42748,Accessories,426,
"Product 305","Sample description 305",9417,Electronics,307,
"Product 306","Sample description 306",41655,Accessories,396,
"Product 307","Sample description 307",17315,Computers,208,
"Product 308","Sample description 308",30220,Electronics,8,
"Product 309","Sample description 309",7429,Fashion,120,
"Product 310","Sample description 310",48556,Electronics,102,
"Product 311","Sample description 311",16739,Computers,421,
"Product 312","Sample description 312",15578,Furniture,124,
"Product 313","Sample description 313",13394,Accessories,325,
"Product 314","Sample description 314",40972,Fashion,292,
"Product 315","Sample description 315",19659,Furniture,48,
"Product 316","Sample description 316",423,Accessories,249,
"Product 317","Sample description 317",11564,Fashion,430,
"Product 318","Sample description 318",26085,Electronics,193,
"Product 319","Sample description 319",3298,Furniture,424,
"Product 320","Sample description 320",18040,Furniture,414,
"Product 321","Sample description 321",8863,Electronics,474,
"Product 322","Sample description 322",6183,Furniture,373,
"Product 323","Sample description 323",22354,Furniture,214,
"Product 324","Sample description 324",32597,Furniture,446,
"Product 325","Sample description 325",30574,Fashion,22,
"Product 326","Sample description 326",36857,Furniture,456,
"Product 327","Sample description 327",44724,Electronics,414,
"Product 328","Sample description 328",40895,Accessories,54,
"Product 329","Sample description 329",35421,Accessories,60,
"Product 330","Sample description 330",32727,Electronics,186,
"Product 331","Sample description 331",39796,Computers,325,
"Product 332","Sample description 332",10992,Fashion,239,
"Product 333","Sample description 333",5647,Fashion,116,
"Product 334","Sample description 334",42497,Computers,266,
"Product 335","Sample description 335",11330,Furniture,269,
"Product 336","Sample description 336",11048,Fashion,141,
"Product 337","Sample description 337",7150,Furniture,72,
"Product 338","Sample description 338",24373,Furniture,344,
"Product 339","Sample description 339",29492,Electronics,340,
"Product 340","Sample description 340",33129,Furniture,218,
"Product 341","Sample description 341",39130,Furniture,460,
"Product 342","Sample description 342",34731,Furniture,280,
"Product 343","Sample description 343",10707,Fashion,214,
"Product 344","Sample description 344",37748,Accessories,167,
"Product 345","Sample description 345",15984,Electronics,281,
"Product 346","Sample description 346",32749,Computers,74,
"Product 347","Sample description 347",41964,Accessories,245,
"Product 348","Sample description 348",26654,Fashion,410,
"Product 349","Sample description 349",29383,Furniture,204,
"Product 350","Sample description 350",2891,Furniture,96,
"Product 351","Sample description 351",41733,Accessories,193,
"Product 352","Sample description 352",1497,Accessories,70,
"Product 353","Sample description 353",46465,Accessories,95,
"Product 354","Sample description 354",13999,Accessories,101,
"Product 355","Sample description 355",42204,Electronics,94,
"Product 356","Sample description 356",46870,Furniture,407,
"Product 357","Sample description 357",36238,Fashion,391,
"Product 358","Sample description 358",48947,Fashion,225,
"Product 359","Sample description 359",34073,Computers,85,
"Product 360","Sample description 360",16036,Furniture,434,
"Product 361","Sample description 361",27794,Fashion,378,
"Product 362","Sample description 362",24270,Accessories,479,
"Product 363","Sample description 363",31353,Furniture,261,
"Product 364","Sample description 364",41497,Accessories,71,
"Product 365","Sample description 365",23533,Furniture,396,
"Product 366","Sample description 366",46387,Electronics,172,
"Product 367","Sample description 367",13219,Electronics,320,
"Product 368","Sample description 368",46917,Accessories,12,
"Product 369","Sample description 369",49416,Accessories,417,
"Product 370","Sample description 370",32172,Accessories,76,
"Product 371","Sample description 371",35650,Computers,476,
"Product 372","Sample description 372",40610,Computers,231,
"Product 373","Sample description 373",16477,Electronics,80,
"Product 374","Sample description 374",510,Computers,359,
"Product 375","Sample description 375",7221,Computers,90,
"Product 376","Sample description 376",31047,Computers,383,
"Product 377","Sample description 377",47541,Electronics,337,
"Product 378","Sample description 378",43251,Fashion,228,
"Product 379","Sample description 379",2607,Furniture,63,
"Product 380","Sample description 380",23149,Computers,362,
"Product 381","Sample description 381",3383,Accessories,220,
"Product 382","Sample description 382",47934,Furniture,148,
"Product 383","Sample description 383",26343,Computers,215,
"Product 384","Sample description 384",5052,Furniture,175,
"Product 385","Sample description 385",17508,Fashion,132,
"Product 386","Sample description 386",32198,Furniture,319,
"Product 387","Sample description 387",28147,Computers,226,
"Product 388","Sample description 388",31016,Electronics,175,
"Product 389","Sample description 389",7471,Accessories,118,
"Product 390","Sample description 390",48356,Electronics,227,
"Product 391","Sample description 391",8824,Computers,146,
"Product 392","Sample description 392",20906,Computers,185,
"Product 393","Sample description 393",31354,Accessories,313,
"Product 394","Sample description 394",45211,Fashion,384,
"Product 395","Sample description 395",44736,Electronics,327,
"Product 396","Sample description 396",45868,Computers,182,
"Product 397","Sample description 397",44354,Accessories,173,
"Product 398","Sample description 398",15330,Furniture,177,
"Product 399","Sample description 399",42526,Furniture,466,
"Product 400","Sample description 400",3894,Computers,272,
"Product 401","Sample description 401",12422,Furniture,329,
"Product 402","Sample description 402",1078,Accessories,278,
"Product 403","Sample description 403",32798,Electronics,151,
"Product 404","Sample description 404",47145,Furniture,184,
"Product 405","Sample description 405",7746,Furniture,50,
"Product 406","Sample description 406",18551,Electronics,404,
"Product 407","Sample description 407",4397,Fashion,93,
"Product 408","Sample description 408",6555,Accessories,339,
"Product 409","Sample description 409",21578,Furniture,413,
"Product 410","Sample description 410",21534,Fashion,182,
"Product 411","Sample description 411",23865,Furniture,17,
"Product 412","Sample description 412",29355,Computers,323,
"Product 413","Sample description 413",13856,Fashion,223,
"Product 414","Sample description 414",27259,Furniture,207,
"Product 415","Sample description 415",29034,Accessories,292,
"Product 416","Sample description 416",19115,Electronics,109,
"Product 417","Sample description 417",46794,Fashion,249,
"Product 418","Sample description 418",42548,Electronics,274,
"Product 419","Sample description 419",18717,Fashion,189,
"Product 420","Sample description 420",41606,Furniture,386,
"Product 421","Sample description 421",29456,Fashion,411,
"Product 422","Sample description 422",32208,Electronics,304,
"Product 423","Sample description 423",17830,Computers,178,
"Product 424","Sample description 424",29187,Fashion,262,
"Product 425","Sample description 425",44882,Fashion,114,
"Product 426","Sample description 426",13476,Accessories,24,
"Product 427","Sample description 427",8065,Furniture,425,
"Product 428","Sample description 428",24502,Electronics,304,
"Product 429","Sample description 429",16207,Electronics,435,
"Product 430","Sample description 430",17448,Electronics,5,
"Product 431","Sample description 431",38181,Computers,435,
"Product 432","Sample description 432",26874,Accessories,362,
"Product 433","Sample description 433",25092,Electronics,397,
"Product 434","Sample description 434",42415,Furniture,481,
"Product 435","Sample description 435",16245,Computers,314,
"Product 436","Sample description 436",34640,Computers,117,
"Product 437","Sample description 437",33347,Fashion,293,
"Product 438","Sample description 438",2998,Electronics,437,
"Product 439","Sample description 439",14292,Electronics,69,
"Product 440","Sample description 440",47628,Accessories,367,
"Product 441","Sample description 441",19135,Fashion,331,
"Product 442","Sample description 442",11216,Accessories,422,
"Product 443","Sample description 443",21073,Furniture,78,
"Product 444","Sample description 444",43710,Computers,126,
"Product 445","Sample description 445",41781,Electronics,486,
"Product 446","Sample description 446",9719,Accessories,244,
"Product 447","Sample description 447",1939,Accessories,23,
"Product 448","Sample description 448",16574,Accessories,228,
"Product 449","Sample description 449",45305,Fashion,266,
"Product 450","Sample description 450",36852,Computers,114,
"Product 451","Sample description 451",46718,Fashion,149,
"Product 452","Sample description 452",27895,Fashion,372,
"Product 453","Sample description 453",3926,Accessories,277,
"Product 454","Sample description 454",25392,Computers,432,
"Product 455","Sample description 455",2093,Electronics,493,
"Product 456","Sample description 456",2775,Accessories,143,
"Product 457","Sample description 457",43407,Fashion,223,
"Product 458","Sample description 458",36256,Computers,152,
"Product 459","Sample description 459",29280,Fashion,286,
"Product 460","Sample description 460",5455,Electronics,356,
"Product 461","Sample description 461",40450,Fashion,443,
"Product 462","Sample description 462",19535,Furniture,372,
"Product 463","Sample description 463",28478,Accessories,186,
"Product 464","Sample description 464",32948,Electronics,268,
"Product 465","Sample description 465",35847,Computers,480,
"Product 466","Sample description 466",40715,Accessories,190,
"Product 467","Sample description 467",41570,Electronics,195,
"Product 468","Sample description 468",1721,Computers,105,
"Product 469","Sample description 469",5807,Fashion,33,
"Product 470","Sample description 470",27533,Computers,50,
"Product 471","Sample description 471",47924,Fashion,427,
"Product 472","Sample description 472",3041,Electronics,98,
"Product 473","Sample description 473",42646,Computers,350,
"Product 474","Sample description 474",22589,Computers,56,
"Product 475","Sample description 475",33435,Accessories,405,
"Product 476","Sample description 476",12043,Computers,55,
"Product 477","Sample description 477",30427,Accessories,69,
"Product 478","Sample description 478",6429,Fashion,309,
"Product 479","Sample description 479",6104,Computers,35,
"Product 480","Sample description 480",48737,Computers,109,
"Product 481","Sample description 481",37405,Furniture,123,
"Product 482","Sample description 482",16516,Computers,383,
"Product 483","Sample description 483",49493,Computers,408,
"Product 484","Sample description 484",4692,Fashion,95,
"Product 485","Sample description 485",29490,Furniture,257,
"Product 486","Sample description 486",44891,Fashion,80,
"Product 487","Sample description 487",40621,Fashion,439,
"Product 488","Sample description 488",21125,Fashion,21,
"Product 489","Sample description 489",25282,Fashion,428,
"Product 490","Sample description 490",35701,Fashion,310,
"Product 491","Sample description 491",22799,Electronics,209,
"Product 492","Sample description 492",13120,Fashion,498,
"Product 493","Sample description 493",19578,Fashion,291,
"Product 494","Sample description 494",16275,Computers,103,
"Product 495","Sample description 495",25676,Computers,434,
"Product 496","Sample description 496",2781,Fashion,23,
"Product 497","Sample description 497",40520,Computers,15,
"Product 498","Sample description 498",20553,Accessories,41,
"Product 499","Sample description 499",29336,Accessories,116,
"Product 500","Sample description 500",21799,Computers,38,
"Product 501","Sample description 501",44948,Fashion,122,
"Product 502","Sample description 502",7947,Computers,357,
"Product 503","Sample description 503",23817,Fashion,462,
"Product 504","Sample description 504",15834,Fashion,457,
"Product 505","Sample description 505",15475,Computers,332,
